source	title	description	url	publishedAt	content	coder 1	movie 1	topic 1	coder 2	movie 2	topic 2	Flag for checks		resolution movie	resolution topic	final movie	final topic
Screen Rant	The Hunger Games: The Ballad Of Songbirds & Snakes Box Office Nears Crucial Milestone Globally	The Hunger Games: The Ballad of Songbirds and Snakes is still trailing behind previous entries, but nears an important box office milestone.	https://screenrant.com/hunger-games-ballad-songbirds-snakes-box-office-global-200-million/	2023-11-26T19:21:24Z	Summary <ul><li> The Hunger Games: The Ballad of Songbirds and Snakes is nearing an important box office milestone with a global gross of $197.2 million. </li><li> The prequel movie has earned an ad… [+2784 chars]	Tristan	HG	Box	Juan	HG	Box					HG	Box
Screen Rant	Every Rachel Zegler Song In The Hunger Games: The Ballad Of Songbirds & Snakes Ranked	Hunger Games: The Ballad of Songbirds &amp; Snakes features a strong leading performance from Rachel Zegler who sings multiple songs in the prequel film.	https://screenrant.com/hunger-games-ballad-songbirds-snakes-rachel-zegler-songs-ranked/	2023-11-25T13:00:15Z	WARNING! This article contains SPOILERS for The Hunger Games: The Ballad of Songbirds &amp; Snakes. Summary <ul><li> Rachel Zegler's singing talent shines in The Hunger Games: The Ballad of Songbir… [+8598 chars]	Tristan	HG	Plot	Juan	HG	Plot	(plot and performances?)				HG	Plot
IGN	Godzilla Minus One Review	A grand, sweeping blockbuster, Godzilla Minus One is light on terror and heavy on spectacle	https://www.ign.com/articles/godzilla-minus-one-review	2023-11-14T22:53:43Z	Godzilla Minus One is now playing in Japan, and will open in North American theaters December 1. Godzilla Minus One is a movie thats even bigger than its title character. Director Takashi Yamazaki s… [+4517 chars]	Tristan	Godzilla	Plot	Juan	Godzilla	Plot					Godzilla	Plot
Rolling Stone	Robert De Niro Says His Awards Speech Was Edited, Blasts Trump as a ‘Charlatan’	Robert De Niro claimed his Gotham Awards speech was censored during Monday's live ceremony and criticized Donald Trump.	https://www.rollingstone.com/tv-movies/tv-movie-news/robert-de-niro-gotham-awards-speech-1234900245/	2023-11-28T04:40:30Z	During the tribute to Martin Scorsese’s Apple film Killers of the Flower Moon at this year’s Gotham Awards, Robert De Niro claimed that his original speech had been edited.  “I just want to say one … [+1808 chars]	Tristan	KOTFM	NR	Juan	NR				KOTFM	NR	KOTFM	NR
/FILM	Netflix's May December Is The Latest Chapter In 2023's Reckoning With True Crime Stories	May December shows why we must remember that true crime tales are more than simple stories and those involved are not characters, but people.	https://www.slashfilm.com/1460187/may-december-latest-chapter-in-2023s-reckoning-with-true-crime-stories/	2023-12-02T17:00:01Z	2023 saw the finale of "Barry," Bill Hader's HBO series about a hitman wanting to be an actor. The series ends with a show-within-a-show; Barry's son John (Jaeden Martell) watches "The Mask Collector… [+1659 chars]	Tristan	NM		Juan	NR		(movie title is mentioned but not our movies)		NM		NM	
Deadline	‘Napoleon’ Conquers Tuesday Thanksgiving Previews With $3M, ‘Wish’ $2.3M; ‘Hunger Games’ Wins Day With $6.5M – Box Office	Refresh for updates Apple Original Productions Ridley Scott Napoleon won $3M in Tuesday night previews while Disney’s Wish took in $2.3M. Both fired off at 3PM yesterday. That’s an impressive number for Napoleon given the war epic movie that it is: it’s right…	https://deadline.com/2023/11/box-office-wish-napoleon-thanksgiving-1235634036/	2023-11-22T15:58:03Z	Refresh for updates Apple Original Productions Ridley Scott Napoleonwon $3M in Tuesday night previews while Disney’s Wishtook in $2.3M. Both fired off at 3PM yesterday. That’s an impressive number f… [+848 chars]	Tristan	Napoleon, Wish, HG	Box	Juan	Napoleon, Thanksgiving, HG, WIsh	Box			Napoleon, Wish, HG	Box	Napoleon, Wish, HG	Box
IndieWire	Marvel Taught Us That Movies Need to Be Events, but the MCU No Longer Qualifies	"The Marvels" is a disaster while "Priscilla" and "The Holdovers" both stay strong. "Dream Scenario" and "Tiger 3" thrive in platform release.	https://www.indiewire.com/news/box-office/the-marvels-movies-need-to-be-events-mcu-no-longer-qualifies-1234925594/	2023-11-12T19:00:00Z	Box-office highlights of 2023 include the breakout successes of “Barbie” and “Oppenheimer” and disruptor titles like “Sound of Freedom” and “Taylor Swift: The Eras Tour.” We’ve also seen the weakness… [+7827 chars]	Tristan	Marvels	Box	Juan	Marvels	Box					Marvels	Box
IndieWire	‘Godzilla Minus One’ Review: The King of Monsters Is Back — and Better than Ever	Toho's "Godzilla" movies continue to run circles around American takes on the kaiju icon.	https://www.indiewire.com/criticism/movies/godzilla-minus-one-review-1234931289/	2023-12-01T14:07:11Z	For his tiny, frantically fleeing costars, Godzilla’s a tough scene partner: ungiving improviser, often plays to the camera, goes annoyingly Method on every shoot. But mostly, he’s difficult to share… [+4828 chars]	Tristan	Godzilla	Plot	Juan	Godzilla	Plot					Godzilla	Plot
Just Jared	'The Hunger Games: The Ballad of Songbirds & Snakes' Opening Weekend Box Office Numbers Revealed	The Hunger Games: The Ballad of Songbirds and Snakes is on top! The prequel movie in the Hunger Games franchise leads at the box office with $44 million in its opening weekend from 3,776 theaters, TheWrap reports. Keep reading to find out more… The movie just…	https://www.justjared.com/2023/11/19/the-hunger-games-the-ballad-of-songbirds-snakes-opening-weekend-box-office-numbers-revealed/	2023-11-19T16:02:08Z	The Hunger Games: The Ballad of Songbirds and Snakes is on top! The prequel movie in the Hunger Games franchise leads at the box office with $44 million in its opening weekend from 3,776 theaters, T… [+586 chars]	Tristan	HG	Box	Juan	HG	Box					HG	Box
Forbes	What Is 'Godzilla Minus One'? Everything To Know About The Japanese Film That Set U.S. Records.	A new film about the iconic monster aimed to create the "most frightening and deadly Godzilla in history."	https://www.forbes.com/sites/maryroeloffs/2023/12/06/what-is-godzilla-minus-one-everything-to-know-about-the-japanese-film-that-set-us-records/	2023-12-06T16:30:19Z	A new foreign-made movie about Godzillas origin story burst into American theaters with a $12.6 million gross over its first four days, marking the biggest-ever domestic premiere for a Japanese live-… [+3637 chars]	Tristan	Godzilla	Box	Juan	Godzilla	Plot					Godzilla	Box
Deadline	‘Renaissance: A Film By Beyonce’ Hopes To Pull In More Than The Single Ladies With $20M+ Opening	EXCLUSIVE: So AMC’s second concert movie, Renaissance: Film by Beyonce hit tracking recently with a $20M opening projection. You’ll remember that the No. 1 circuit in the world, which is distributing the movie to other exhibitors through Variance (who was tap…	https://deadline.com/2023/11/beyonce-concert-film-renaissance-box-office-projection-1235615818/	2023-11-17T00:22:44Z	EXCLUSIVE: So AMC‘s second concert movie, Renaissance: Film by Beyonce hit tracking recently with a $20M opening projection. You’ll remember that the No. 1 circuit in the world, which is distributing… [+2640 chars]	Tristan	Renaissance	Box	Juan	Renaissance	Box					Renaissance	Box
IGN	Peacock Has the Best Streaming Deal for Cyber Monday, But It Ends Today	Stream Yellowstone, Five Nights at Freddy's, Super Mario Bros, and more	https://www.ign.com/articles/peacock-cyber-monday-deal-2023-streaming-ending-soon	2023-11-27T19:25:00Z	There are a few very good Cyber Monday deals floating around, but the one deal to rule them all is this Peacock Cyber Monday offer. Peacock is offering two separate deals, one for people who want to … [+1788 chars]	Tristan	FNAF	Streaming	Juan	NR				FNAF	Streaming	FNAF	Streaming
ComingSoon.net	The Ballad of Songbirds & Snakes Star Explains Lucy Gray & Katniss’ Connection	During a recent virtual press conference for The Hunger Games: The Ballad of Songbirds & Snakes, lead star Rachel Zegler revealed why she didn’t felt the need to study Jennifer Lawrence‘s performances as Katniss Everdeen to prepare for the role of Lucy Gray B…	https://www.comingsoon.net/movies/news/1400645-the-ballad-of-songbirds-snakes-lucy-gray-katniss-connection	2023-11-13T19:56:05Z	During a recent virtual press conference for The Hunger Games: The Ballad of Songbirds &amp; Snakes, lead star Rachel Zegler revealed why she didnt felt the need to study Jennifer Lawrences performan… [+2908 chars]	Tristan	HG	Promo	Juan	HG	Promo					HG	Promo
/FILM	No Disney Movie Will Cross $1 Billion At The Box Office This Year – And That's Bad News	Disney was once able to claim multiple billion-dollar movies, but this year, their output has come up short at the box office.	https://www.slashfilm.com/1457249/no-disney-movie-will-cross-1-billion-at-the-box-office-this-year/	2023-11-28T21:00:21Z	2023 has, overall, felt like an up year at the box office. We've had massive hits like "Barbie" and "Oppenheimer" that helped deliver a monster summer movie season, we've had original films like Wes … [+1870 chars]	Tristan	NM		Juan	NM						NM	
Gizmodo.com	11 Burning Questions We Have After The Marvels	Image: Marvel Studios The Marvels is here, and with it, a bunch of updates on just what is going on in the Marvel Cinematic Universe, from Earth, to space, and beyond. But while much of the team-up movie’s big beats are neatly wrapped up by its brisk end, th…	https://gizmodo.com/the-marvels-burning-questions-spoilers-mcu-x-men-binary-1851018063	2023-11-13T20:22:33Z	In the comics, Binary is the superhero identity of Carol Danvers in the 80s, when she was a close ally of the X-Men and had previously had her abilities as Ms. Marvel depoweredand was in fact her de … [+750 chars]	Tristan	Marvels	Plot	Juan	Marvels	Plot					Marvels	Plot
WWD	Rachel Zegler, Hunter Schafer, Olivia Rodrigo and More Stars Sparkle at ‘The Hunger Games: The Ballad of Songbirds & Snakes’ Premiere	The shiny embellishments trend is here to stay.	https://wwd.com/pop-culture/celebrity-news/rachel-zegler-hunter-schafer-olivia-rodrigo-hunger-games-premiere-1235925942/	2023-11-14T15:26:33Z	Following the conclusion of the Screen Actors Guild strike on Nov. 9, red carpets are now back in full swing, with the premiere of “The Hunger Games: The Ballad of Songbirds &amp; Snakes” taking plac… [+2000 chars]	Tristan	HG	Promo	Juan	HG	Promo					HG	Promo
Rogerebert.com	Godzilla Minus One	Godzilla Minus One is a well-calibrated popcorn movie.	https://www.rogerebert.com/reviews/godzilla-minus-one-movie-review-2023	2023-12-01T17:07:00Z	Godzilla turns 70 next year, and to celebrate, his parent company Toho Studios waited until the end of this year to release the most conventional Godzilla movie in recent memory. “Godzilla Minus One”… [+4978 chars]	Tristan	Godzilla	Plot	Juan	Godzilla	Plot					Godzilla	Plot
Digital Trends	5 movies to watch if you liked The Marvels	Did you enjoy the latest MCU movie The Marvels with Brie Larson and are looking for more like it? Then these five movies should be on your list to watch.	https://www.digitaltrends.com/movies/movies-to-watch-if-you-liked-the-marvels-2023/	2023-11-11T15:00:00Z	The latest entry in the Marvel Cinematic Universe is also the shortest, which means that if you loved the zany, quippy energy of The Marvels, you may be looking for something else worth watching that… [+3622 chars]	Tristan	Marvels	NR	Juan	Marvels	NR					Marvels	NR
Deadline	How Robbie Robertson Avoided “Movie Music” In His Score For ‘Killers Of The Flower Moon’ – Sound & Screen Film	Scoring Killers of the Flower Moon was a daunting prospect for Robbie Robertson. The Band co-founder, who died in August at 80, had a vision he wanted to achieve but was “terrified of delivering something ordinary,” explained orchestrator-conductor Mark Graha…	https://deadline.com/2023/11/how-robbie-robertson-avoided-movie-music-in-his-score-for-killers-of-the-flower-moon-sound-screen-film-1235599262/	2023-11-10T19:57:10Z	Scoring Killers of the Flower Moon was a daunting prospect for Robbie Robertson.  The Band co-founder, who died in August at 80, had a vision he wanted to achieve but was “terrified of delivering so… [+2115 chars]	Tristan	KOTFM	Prod	Juan	KOTFM	Prod					KOTFM	Prod
The Atlantic	An Enjoyable Extravaganza About … Napoleon?	Ridley Scott’s take on the French leader is a sample platter of big battles and bristling insecurities.	https://www.theatlantic.com/culture/archive/2023/11/napoleon-movie-review/676082/?utm_source=feed	2023-11-22T13:00:00Z	When it comes to battle tactics, Napoleon Bonaparte (as played by Joaquin Phoenix) is very gun forward. There are few conflicts he marches into that don’t involve the firing of many cannons, an insti… [+4851 chars]	Tristan	Napoleon	Plot	Juan	Napoleon	Plot					Napoleon	Plot
Gofugyourself.com	Lily Gladstone Reels In Her First Award	For Killers of the Flower Moon. The post Lily Gladstone Reels In Her First Award first appeared on Go Fug Yourself.	https://www.gofugyourself.com/lily-gladstone-reels-in-her-first-award-11-2023	2023-11-28T17:05:07Z	The Gotham Awards provided a warm-up for January’s awards season. Technically they’re supposed to be for indies, but they found a way to give general achievement awards to things like Barbie and Air,… [+692 chars]	Tristan	KOTFM	Awards	Juan	KOTFM	Awards					KOTFM	Awards
The New Yorker	The French Are Not Happy About “Napoleon”	Adam Gopnik writes about how Ridley Scott’s 2023 film, “Napoleon,” has provoked a surreal cultural dislocation and unintended comedy among French audiences.	https://www.newyorker.com/culture/cultural-comment/the-french-are-not-happy-about-napoleon	2023-11-30T00:43:43Z	Joaquin Phoenix in Ridley Scotts Napoleon.Photograph courtesy Apple TV+ Americans are so used to seeing history played by Americans that the oddity of it hardly registers anymore. Charlton Heston wa… [+4176 chars]	Tristan	Napoleon	Plot	Juan	Napoleon	Plot					Napoleon	Plot
Showbiz411	NY Film Critics Circle Give Best Film to Scorsese's 'KILLERS,' Director to 'OPPENHEIMER'S' Nolan...	The New York Film Critics Circle have chosen Killers of the Flower Moon as Best picture of 2023.  Christopher Nolan, Director of Oppenheimer, is Best Firector in a wise split with Martin Scorsese's epic.  The group will welcome the two best movies and directo…	https://www.showbiz411.com/2023/11/30/ny-film-critics-circle-give-best-film-to-scorseses-killers-director-to-oppenheimers-nolan	2023-11-30T19:10:38Z	HomeMoviesNY Film Critics Circle Give Best Film to Scorsese’s Killers, Director to... The New York Film Critics Circle have chosen Killers of the Flower Moon as Best picture of 2023. Christopher No… [+364 chars]	Tristan	KOTFM	Awards	Juan	KOTFM	Awards					KOTFM	Awards
Biztoc.com	‘Killers of the Flower Moon’ Sets PVOD Launch Ahead of Streaming	Martin Scorsese’s “Killers of the Flower Moon” is headed home this week. Beginning Tuesday, you can watch the epic at home. While it is an Apple Original Films production, “Killers of the Flower Moon” will first be available on various PVOD platforms. It will…	https://biztoc.com/x/4dc7d35ff274a73d	2023-12-04T19:42:10Z	Martin Scorseses Killers of the Flower Moon is headed home this week.Beginning Tuesday, you can watch the epic at home. While it is an Apple Original Films production, Killers of the Flower Moon will… [+312 chars]	Tristan	KOTFM	Streaming	Juan	KOTFM	Streaming					KOTFM	Streaming
First Showing	Glorious Final Trailer for Japan's 'Godzilla Minus One' Now In Theaters	"I don't want to see Tokyo in flames again!" Japan's Toho has revealed one final official trailer (#4 in total) for Godzilla Minus One (or Godzilla -1.0) to celebrate the official release worldwide TODAY in theaters. Go see it! Word on the street is it's one …	https://www.firstshowing.net/2023/glorious-final-trailer-for-japans-godzilla-minus-one/	2023-12-01T23:22:37Z	by Alex BillingtonDecember 1, 2023Source:YouTube "I don't want to see Tokyo in flames again!" Japan's Toho has revealed one final official trailer (#4 in total) for Godzilla Minus One (or Godzilla -… [+2392 chars]	Tristan	Godzilla	Promo	Juan	Godzilla	Promo					Godzilla	Promo
ComingSoon.net	Box Office Results: The Marvels Fails to Ignite	Disney/Marvel’s The Marvels failed to get off the ground in its debut weekend, collecting a meager $47 million at the domestic box office. The pic ranks as the lowest opening for an MCU film to date, falling short of The Incredible Hulk’s $55M opening in 2008…	https://www.comingsoon.net/movies/news/1399336-box-office-results-the-marvels-fails-to-ignite	2023-11-12T20:50:44Z	Disney/Marvels The Marvels failed to get off the ground in its debut weekend, collecting a meager $47 million at the domestic box office. The pic ranks as the lowest opening for an MCU film to date, … [+2590 chars]	Tristan	Marvels	Box	Juan	Marvels	Box					Marvels	Box
Deadline	‘Killers Of The Flower Moon’ Costume Team On Committing To Authentic Depiction Of Osage Nation – Contenders Film L.A.	“The day of using Gunsmoke and Bonanza portraying us is over. We have a voice, and we use it,” said Julia O’Keefe, the Osage Nation costume consultant for Apple Original Films’ Killers of the Flower Moon. During the panel for the Martin Scorsese-directed movi…	https://deadline.com/2023/11/killers-of-the-flower-moon-costume-designers-authenticity-osage-nation-1235618763/	2023-11-19T02:27:40Z	“The day of using Gunsmoke and Bonanza portraying us is over. We have a voice, and we use it,” said Julia O’Keefe, the Osage Nation costume consultant for Apple Original Films‘ Killers of the Flower … [+1977 chars]	Tristan	KOTFM	Prod	Juan	KOTFM	Prod					KOTFM	Prod
Deadline	AFI Awards Film Top 10: ‘Barbie’, ‘Oppenheimer’, ‘Maestro’, ‘Killers Of The Flower Moon’ Among Org’s Best Of 2023	The list of the 10 films chosen for the prestigious AFI Awards is out, and it is good news for Barbenheimer. Both summer blockbusters Barbie and Oppenheimer are among the elite group chosen for the 2023 list by the specially selected AFI jury of critics, film…	https://deadline.com/2023/12/afi-awards-2023-film-top-10-list-1235656990/	2023-12-07T19:03:55Z	The list of the 10 films chosen for the prestigious AFI Awards is out, and it is good news for Barbenheimer. Both summer blockbusters Barbieand Oppenheimerare among the elite group chosen for the 20… [+2015 chars]	Tristan	KOTFM	Awards	Juan	KOTFM	Awards					KOTFM	Awards
Forbes	Review: ‘Godzilla Minus One’ Is One Of 2023 Greatest Films	Cinema's most famous giant monster returns in a stunning and visionary reboot.	https://www.forbes.com/sites/markhughes/2023/11/30/review-godzilla-minus-one-is-one-of-2023-greatest-films/	2023-11-30T13:00:00Z	Movie production company Tohos giant monster franchise Godzilla is the longest running film series in history, making it by default also the biggest sci-fi series and horror series of all time. While… [+9428 chars]	Tristan	Godzilla	Plot	Juan	Godzilla	Plot					Godzilla	Plot
Time	Robert De Niro’s Ex-Assistant Wins $1.2 Million in Gender Discrimination Lawsuit	A jury found one of De Niro’s companies, Canal Productions, responsible for subjecting the actor’s former personal assistant Graham Chase Robinson to a toxic work environment.	https://time.com/6333695/robert-de-niro-assistant-lawsuit-verdict/	2023-11-10T02:30:00Z	NEW YORK A jury awarded more than $1.2 million to Robert De Niros former personal assistant Thursday, finding one of his companies responsible for subjecting her to a toxic work environment. While t… [+4583 chars]	Tristan	NR		Juan	NR						NR	
IGN	How to Watch Napoleon – Release Date and Streaming Status	Wondering how to watch Napoleon? We have all the information on the latest Ridley Scott movie, from showtimes to streaming status.	https://www.ign.com/articles/how-to-watch-napoleon-movie	2023-11-20T18:08:00Z	Legendary director Ridley Scott is back with a sprawling historical drama about the rise and fall of French Emporer Napoleon Bonaparte. The film is pitched as "a spectacle-filled action epic," with O… [+2696 chars]	Tristan	Napoleon	Streaming	Nolin	Napoleon	Streaming					Napoleon	Streaming
JoBlo.com	Weekend Box Office: The odds are ever in The Hunger Games’ favor	Taking down Napoleon & Wish, The Hunger Games: The Ballad of Songbirds & Snakes pulled off a surprising Thanksgiving weekend victory. The post Weekend Box Office: The odds are ever in The Hunger Games’ favor appeared first on JoBlo.	https://www.joblo.com/wekeend-box-office-the-odds-are-ever-in-the-hunger-games-favor/	2023-11-26T17:55:36Z	Taking down Napoleon &amp; Wish, The Hunger Games: The Ballad of Songbirds &amp; Snakes pulled off a surprising Thanksgiving weekend victory. Last week it seemed the writing was on the wall: audienc… [+5118 chars]	Tristan	Napoleon, Wish, HG	Box	Nolin	HG, Napoleon, Wish	Box					Napoleon, Wish, HG	Box
IGN	Martin Scorsese's TikTok Stardom Was Accidental: 'I Was Tricked Into That'	Martin Scorsese, famed film maker behind Taxi Driver, Killers of the Flower Moon, The Wolf of Wall Street, and so many more, is now, accidentally, a TikTok star. "I was tricked into that," he said.	https://www.ign.com/articles/martin-scorseses-tiktok-stardom-was-accidental-i-was-tricked-into-that	2023-11-16T16:08:24Z	Martin Scorsese, famed film maker behind Taxi Driver, Killers of the Flower Moon, The Wolf of Wall Street, and so many more, is now, accidentally, a TikTok star. "I was tricked into that," he said. … [+1488 chars]	Tristan	KOTFM	NR	Nolin	KOTFM	NR					KOTFM	NR
Rogerebert.com	Killers of the Flower Moon to Receive the Vanguard Award at the Palm Spring International Film Awards	An article announcing that Martin Scorsese's "Killers of the Flower Moon" will receive the Vanguard Award at the Palm Springs International Film Awards.	https://www.rogerebert.com/festivals/killers-of-the-flower-moon-to-receive-the-vanguard-award-at-the-palm-spring-international-film-awards	2023-11-24T16:08:17Z	Martin Scorsese's "Killers of the Flower Moon" will receive The Vanguard Award, a group honor for the film's cast and director, at the Palm Springs International Film Awards on Thursday, January 4th,… [+2672 chars]	Tristan	KOTFM	Awards	Nolin	KOTFM	Awards					KOTFM	Awards
IndieWire	2024 Oscars Shifts to Earlier Live Time Slot Before ‘Abbott Elementary’	The Academy Awards will be hosted once again by Jimmy Kimmel on March 10 and air live on ABC.	https://www.indiewire.com/awards/awards/2024-oscars-earlier-live-time-slot-before-abbott-elementary-1234930945/	2023-11-30T18:00:00Z	The 2024 Academy Awards are getting an earlier start time.  The annual awards show will air live from the Dolby Theatre at Ovation Hollywood in Los Angeles on March 10. Instead of beginning at the u… [+1929 chars]	Tristan	NM		Nolin	NM						NM	
ComingSoon.net	Box Office Results: Hunger Games Prequel Rises to the Top as Marvels Sinks	There are plenty of pros and cons at the box office this week. We’ll start with the good news. The Hunger Games prequel, The Ballad of Songbirds & Snakes, opened with a decent but not spectacular $44 million, enough to propel the Francis Lawrence-directed pic…	https://www.comingsoon.net/movies/news/1407231-box-office-results-hunger-games-prequel-rises-to-the-top-as-marvels-sinks	2023-11-19T22:12:24Z	There are plenty of pros and cons at the box office this week. Well start with the good news. The Hunger Games prequel, The Ballad of Songbirds &amp; Snakes, opened with a decent but not spectacular … [+2660 chars]	Tristan	HG, Marvels	Box	Nolin	HG	Box			HG, Marvels	Box	HG, Marvels	Box
Digital Trends	The Marvels review: the MCU’s shortest film is its biggest mess	Captain Marvel teams up with two Disney+ B-listers for the surprisingly shoddy MCU adventure The Marvels.	https://www.digitaltrends.com/movies/marvels-movie-review/	2023-11-10T18:01:02Z	Marvel movies have always been product, but they used to be extremely well-oiled product: splashy, gleaming multiplex entertainment that hit its marks with the precision of a Stark Industries missile… [+6331 chars]	Tristan	Marvels	Plot	Nolin	Marvels	Plot					Marvels	Plot
Bleeding Cool News	The Ballad Of Songbirds & Snakes: Rachel Zegler On Lucy Gray's Fate	The book that The Hunger Games: The Ballad Of Songbirds & Snakes is based on has been out since late 2020, but plenty of people haven't read the book but have every intention of seeing the movie. Star Rachel Zegler has shared her opinion on the ending her cha…	https://bleedingcool.com/movies/the-ballad-of-songbirds-snakes-rachel-zegler-on-lucy-grays-fate/	2023-11-18T21:32:09Z	Posted in: Lionsgate, Movies | Tagged: lionsgate, Rachel Zegler, The Ballad of Songbirds &amp; Snakes, the hunger games, The Hunger Games: The Ballad Of Songbirds &amp; Snakes The Hunger Games: The … [+6141 chars]	Tristan	HG	Plot	Nolin	HG	Promo					HG	Plot
Forbes	Japanese Movies Breathe Life Into Slow U.S. Box Office—As ‘Godzilla Minus One’ Breaks Records	“Godzilla Minus One” broke the record as the highest-grossing live-action Japanese film at North American theaters—and “The Boy and the Heron” could win the U.S. box office this weekend.	https://www.forbes.com/sites/conormurray/2023/12/08/japanese-movies-breathe-life-into-slow-us-box-office-as-godzilla-minus-one-breaks-records/	2023-12-08T21:00:49Z	Japanese films are having a big moment, with Godzilla Minus One and Studio Ghiblis The Boy and the Heron capitalizing on their strong critical reviews and the lack of big blockbusters in theaters to … [+3838 chars]	Tristan	Godzilla	Box	Nolin	Godzilla	Box					Godzilla	Box
Deadline	‘Killers Of The Flower Moon’: Read The Screenplay From Martin Scorsese And Eric Roth That Looks To Un-Erase An Ugly Part Of U.S. History	Deadline’s Read the Screenplay series spotlighting the year’s most talked-about scripts continues with Killers of the Flower Moon, the Apple Original Films epic that sports the season’s biggest list of bona fides. Oscar winner Martin Scorsese directed the fil…	https://deadline.com/2023/12/killers-of-the-flower-screenplay-read-script-martin-scorsese-eric-roth-1235648552/	2023-12-01T22:15:17Z	Deadline’s Read the Screenplay series spotlighting the year’s most talked-about scripts continues with Killers of the Flower Moon, the Apple Original Films epic that sports the season’s biggest list … [+1558 chars]	Tristan	KOTFM	Plot	Nolin	KOTFM	Plot					KOTFM	Plot
IGN	How to Watch Godzilla Minus One – Showtimes and Streaming Status	Wondering how to watch Godzilla Minus One? We have all the information on the kaiju's latest movie, from showtimes to streaming status.	https://www.ign.com/articles/how-to-watch-godzilla-minus-one	2023-12-02T01:12:12Z	Godzilla Minus One is being heralded as one of the best Godzilla movies in years, if not ever. IGN's Godzilla Minus One review called it "a rousing, spectacle-filled blockbuster" with a strong charac… [+2450 chars]	Tristan	Godzilla	Streaming	Nolin	Godzilla	Streaming					Godzilla	Streaming
Rogerebert.com	Killers of the Flower Moon, Oppenheimer, Poor Things Lead CFCA Nominations	The Chicago Film Critics Association nominees.	https://www.rogerebert.com/festivals/killers-of-the-flower-moon-oppenheimer-poor-things-lead-cfca-nominations	2023-12-08T16:52:53Z	A trio of films won over the Chicago Film Critics Association this year, all landing double digit nominations, the first time three movies have done that in the same year. The 'Barbenheimer' craze wo… [+4206 chars]	Tristan	KOTFM	Awards	Nolin	KOTFM	Awards					KOTFM	Awards
IGN	Minus One Proves That Godzilla Is the Most Versatile Character in Film History	Godzilla Minus One shows how the King of the Monsters has stayed relevant 70 years on.	https://www.ign.com/articles/minus-one-proves-that-godzilla-is-the-most-versatile-character-in-film-history	2023-12-09T15:07:00Z	This article contains full spoilers for Godzilla Minus One. Godzilla Minus One , the latest installment in the venerable kaiju franchise, is currently making big waves in theaters. Between universa… [+11169 chars]	Tristan	Godzilla	Plot	Nolin	Godzilla	Plot					Godzilla	Plot
Windows Central	Peacock is just $1.99 a month for a full year right now — If I wasn't already using this streaming service every day, I'd jump all over this amazing deal	Peacock is NBC's streaming service and features dozens of hit shows and movies within various genres. A Peacock membership is currently about 67% off right now with this deal.	https://www.windowscentral.com/software-apps/streaming-video/peacock-is-just-dollar199-a-month-for-a-full-year-right-now-if-i-wasnt-already-using-this-streaming-service-every-day-id-jump-all-over-this-amazing-deal	2023-11-25T23:16:20Z	I finally subscribed to Peacock for the first time and I've been absolutely loving the range of shows and movies this NBC streaming service provides. And now, thanks to a ridiculously low-price deal … [+4041 chars]	Tristan	NR		Nolin	NM				NM		NM	
ComingSoon.net	When Will Godzilla Minus One Leave Movie Theaters & Cinemas?	With Godzilla Minus One performing well in theaters, fans are interested to find out when it will be leaving cinema screens. Here’s all you need to know about Godzilla Minus One’s theatrical run, and when you should catch a screening. When will Godzilla Minus…	https://www.comingsoon.net/guides/news/1428951-godzilla-minus-one-when-leaving-theaters-cinemas-stop-being-shown	2023-12-06T14:22:05Z	With Godzilla Minus One performing well in theaters, fans are interested to find out when it will be leaving cinema screens. Heres all you need to know about Godzilla Minus Ones theatrical run, and w… [+1551 chars]	Tristan	Godzilla	Streaming	Nolin	Godzilla	Streaming					Godzilla	Streaming
Digital Trends	The best MCU sequels, ranked	While The Marvels isn't one of them, the MCU has produced many great sequels over the years. DT ranks the 10 best Marvel sequels ever.	https://www.digitaltrends.com/movies/the-best-mcu-sequels-ranked/	2023-11-11T17:00:28Z	Some say the sequels aren’t as good as the original, but the Marvel Cinematic Universe has successfully produced many noteworthy sequels over the years. Some of these follow-ups have even been label… [+7603 chars]	Tristan	Marvels	NR	Nolin	Marvels	Plot	*		Marvels	Plot	Marvels	Plot
TMZ	Robert De Niro Gets Angry at Gotham Awards, Claims Trump Comments Cut	Robert De Niro was SUPER PISSED onstage during the Gotham Awards Monday night, claiming someone edited his speech about Donald Trump ...  but he read it anyway. The two-time Oscar winner was introducing the Gotham Historical Icon and Creator…	https://www.tmz.com/2023/11/28/robert-de-niro-gotham-awards-trump-speech-edited-censored-script/	2023-11-28T13:41:58Z	Robert De Niro was SUPER PISSED onstage during the Gotham Awards Monday night, claiming someone edited his speech about Donald Trump ...  but he read it anyway. The two-time Oscar winner was introdu… [+1194 chars]	Tristan	NR		Nolin	NM				NM		NM	
Nofilmschool.com	'Killers of the Flower Moon' SFX Coordinator Breaks Down the Epic's Biggest Effects	Killers of the Flower Moon is traditional big-budget filmmaking at its finest. It is the type of film that feels almost rare these day, and when you catch a moment that sparks your interest (both as an audience member and as a filmmaker), you want to know mor…	https://nofilmschool.com/killers-of-the-flower-moon-sfx	2023-11-10T17:00:04Z	Killers of the Flower Moon is traditional big-budget filmmaking at its finest. It is the type of film that feels almost rare these day, and when you catch a moment that sparks your interest (both as … [+24221 chars]	Tristan	KOTFM	Prod	Nolin	KOTFM	Prod					KOTFM	Prod
